id,warehouse_id,warehouse_dev_id,common_name_significant,common_name,taxon,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_width,profile_pic_height,profile_pic_author,thumbnail,illustration,illustration_width,illustration_height,map,confusion,color[],color[],color[],color[],color[],color[],color[],color[],color[]
11,371013,878689,Chervil,Bur , Anthriscus caucalis,F,"Downy plant, up to 50cm. The stems are hollow and hairless, but the finely branched leaves have tiny (5mm) pale-green leaflets. The white flowers are arranged in umbels and are 2mm across. The seeds are 3mm long, oval-shaped and covered with hooked spines. ",Acid-neutral sandy loams and gravelly soils.,Autumn,May - June,Unknown,Uncropped cultivated areas,Least Concern   ,images/pics/Anthriscus_caucalis_2_CG.jpg,1024,768,Chris Gibson,images/thumbnails/Anthriscus_caucalis_2_CG.jpg,images/illustrations/Anthriscus_caucalis.png,405,644,images/maps/Anthriscus_caucalis.svg,,,,,,,,w,,
12,371015,878690,Silky-bent,Dense, Apera interrupta,G,"Erect annual grass, up to 70cm tall. The leaves can grow up to 10cm long and 4mm wide are mostly hairless. Each leaf has a long pointed ligule, up to 5mm long. The flowers are arranged in a loose interrupted spike with stalkless branches. Each spikelet has a very long straight awn. It was originally introduced as a seed contaminant from wool shoddy and has declined because of targeted gramnicide use and highly competitive fertilised crops.",Calcareous sandy loams.,Autumn,June - July,Unknown,Uncropped cultivated areas,Nationally Scarce   ,images/pics/Apera_interrupta.jpg,1024,903,Matt Lavin,images/thumbnails/Apera_interrupta.jpg,,,,images/maps/Apera_interrupta.svg,,,,,,,,,,gg
13,371017,878691,Silky-bent,Loose, Apera spica-venti,G,"Erect annual grass, up to 100cm tall, with either solitary or multiple hairless stems. The leaves can grow up to 20cm long by 10mm wide and can be rough. Each leaf has a long pointed toothed ligule, up to 1cm long. The flowers are finely branched spreading widely making the whole flower head up to 20cm long and 15cm wide. Each spikelet has a long awn. Loose silky-bent has declined because of targeted gramnicides.",Sandy loams and sands.,Autumn (limited germination in the spring),May - September,Unknown,Uncropped cultivated areas,Nationally Scarce   ,images/pics/Apera_spica-venti_CG.jpg,1024,768,Chris Gibson,images/thumbnails/Apera_spica_venti_CG.jpg,,,,images/maps/Apera_spica-venti.svg,,,,,,,,,,gg
14,371019,878692,Parsley-piert,Slender, Aphanes australis,F,"Small, 2-20cm, low-growing plant. Fan-shaped leaves have three deeply-toothed main lobes, and are 2-10mm long. Minute flowers less than 2mm are present in leaf axils and are hidden by the larger green leaf stipules. The stipule lobes are oblong shaped whilst the closely related parsley-piert Aphanes arvensis has triangular stipule-lobes. ",Acidic sandy loams and sands.,Spring,April - October,Unknown,Uncropped cultivated areas,Least Concern   ,images/pics/Aphanes_australis_LR.jpg,1024,1026,Lliam Rooney,images/thumbnails/Aphanes_australis_LR.jpg,,,,images/maps/Aphanes_australis.svg,Aphanes arvensis,,,,,,,,gf,
15,371021,878693,,Lamb’s-succory, Arnoseris minima,F,"A member of the daisy family that can grow up to 30cm tall. The hairless elliptical leaves form a rosette at the bottom of the flower spike. The yellow flowers are 7-11mm in diameter and are borne singly at the end of each stem. The flowering stems are inflated just below the flower head. Although this plant can look similar to other yellow daisy flowers, such as dandelions, hawkbits, cat's-ears and hawkweeds, the inflated flower stem is distinctive. Lamb's-succory is unable to cope in high nitrogen environments and the marginal low-intensity arable fields that it did occupy have tended to be abandoned for cultivation.",Acidic sandy loams and sands.,Autumn (limited spring germination),June - August,Unknown but seeds last for at least three years in the soil seed bank,Uncropped cultivated areas,Critically Endangered / Extinct   ,images/pics/Arnoseris_minima.jpg,1024,1024,,images/thumbnails/Arnoseris_minima.jpg,images/illustrations/Arnoseris_minima.png,525,1104,images/maps/Arnoseris_minima.svg,,,,,,,y,,,
16,371023,878694,Oat,Bristle or Black, Avena strigosa,G,"Tall erect grass, up to 120cm. The blunt, slightly-toothed membrane ligule at the base of each leaf is 1.5-5mm and the leaf blades are broad and flat tapering to a point much like other members of the oat grass family. The flower spike often flowers to one side and each spikelets bears two flowers 16-26mm. The lemmas have two teeth each with a bristle and there is an awn on both lemmas from the middle of the back. There is no obvious callus scar on the florets when they are separated and they do not shatter easily, which hinders the establishment of populations. Bristle oat was originally grown as a cereal crop in poorer soils in the North and West of Britain but modern varieties of cultivated oat Avena sativa have taken over.  ",Acidic sandy loams and sands.,Autumn,June - September,Unknown,Unknown  ,Nationally Scarce   ,images/pics/Avena_strigosa.jpg,1024,1024,,images/thumbnails/Avena_strigosa.jpg,,,,images/maps/Avena_strigosa.svg,other Avena spp.,,,,,,,,,gg
17,371025,878695,Mustard,Black , Brassica nigra,F,"Tall plant, up to 100cm and member of the cabbage family. The lower bristly bright-green leaves are lyre-shaped and lobed. The upper leaves are undivided, elliptical hairless and do not clasp the stem. The 10-15mm yellow flowers are grouped at the top of the flowering spike in a loose raceme. The seed pods are adpressed, four-angled and 12-20mm long. A seedless slender beak extends at the end of the seed pod.","Acidic sandy loams and sands, silty and clay loams.",Unknown,June - September,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Least Concern   ,images/pics/Brassica_nigra_1_CG.jpg,1024,683,Chris Gibson,images/thumbnails/Brassica_nigra_1_CG.jpg,images/illustrations/Brassica_nigra.png,577,631,images/maps/Brassica_nigra.svg,,,,,,,y,,,
18,371027,878696,Quaking-grass,Lesser , Briza minor,G,"An erect grass, up to 50cm tall. Leaves are 3-7mm wide, hairless and blue-green in colour with a pointed ligule 3-6mm long. The branched flower-head has triangular flower spikelets and looks like a smaller version of the common quaking-grass associated with calcareous grasslands. It tends to grow in slightly damp areas of fields where water has pooled suppressing other plants and creating bare ground.","Acidic sands, loams, gravels and clays.",Autumn (limited spring germination),June - August  ,Unknown,Uncropped cultivated areas,Nationally Scarce   ,images/pics/Briza_minor_CG.jpg,1024,683,Chris Gibson,images/thumbnails/Briza_minor_CG.jpg,,,,images/maps/Briza_minor.svg,Briza media (but different habitat = grassland),,,,,,,,,gg
19,371029,878697,Brome,Field , Bromus arvensis,G,"Robust tall grass, up to 100cm tall. Leaves and stem are softly-densely hairy. The leaves have a blunt ligule up to 4mm long and leaf blades can be up to 20cm long by 5mm wide. The spikelet of flowers is very branched and drooping with long-stalked spikelets that are laterally compressed 1.5cm long by 4m wide. The lemma is inrolled stopping the spikelets from breaking-up easily and short, less than 6.5mm long, with a rough straight awn up to 1cm long. Field brome probably relied on being spread as a contaminant of crop seed and more effective seed cleaning has probably been the cause for its decline.",Loams and clay loams.,Autumn,June - July  ,Unknown but probably short-lived,Uncropped cultivated areas,Near Threatened   ,images/pics/Bromus_arvensis.jpg,1024,1024,,images/thumbnails/Bromus_arvensis.jpg,,,,images/maps/Bromus_arvensis.svg,some other Bromus spp.,,,,,,,,,gg
20,371031,878698,Brome,Interrupted , Bromus interruptus,G,"Tall grass, up to 100cm. Leaves and stem are softly-densely hairy. The leaves are 20cm long by 5mm wide and there is a blunt ligule up to 4mm long. The flower spike is branched with very short spikelet stalks that are grouped into clusters of three. The spikelets are oval and slightly laterally compressed 1-1.7cm long. The lemma has a rough straight awn up to 8mm long. Interrupted brome is very poorly competitive and cannot compete against modern crop varieties grown with nitrogen fertilisers.",Usually clay loams and occasionally other soil types.,Autumn,June - July  ,Short-lived,Uncropped cultivated areas,Near Threatened   ,images/pics/Bromus_interruptus_CG.jpg,1024,1016,Chris Gibson,images/thumbnails/Bromus_interruptus_CG.jpg,,,,images/maps/Bromus_interruptus.svg,some other Bromus spp.,,,,,,,,,gg
21,371033,878699,Brome,Rye , Bromus secalinus,G,An erect grass up to 1m tall. Leaves are 5mm wide and can be 20cm long with blunt ligules up to 4mm long. The stem and leaf are softly hairy. The branched flower-head has slightly laterally compressed long-stalked oval spikelets. The inrolled lemma stops the spikelets breaking-up and shedding when ripe keeping the seeds in a spikelet form until much later in the summer compared with other bromes.,Calcareous clays loams and occasionally other soil types.,Autumn,June - July  ,Short-lived,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Vulnerable   ,images/pics/Bromus_secalinus_CS.jpg,1024,1016,Cath Shellswell,images/thumbnails/Bromus_secalinus_CS.jpg,,,,images/maps/Bromus_secalinus.svg,some other Bromus spp.,,,,,,,,,gg
22,371035,878700,Pignut,Greater , Bunium bulbocastanum,F,"A tall member of the carrot family, up to 60cm. This is a perennial plant over-wintering as an underground tuber formed at the base of the stem. Finely divided three-pinnately divided leaves appear feathery. The white umbellifer flowers are typical of the carrot family and may be 3-8cm across. Greater pignut has a solid stem compared with pignut <i>Conopodium majus</i> which has a hollow stem. This perennial plant needs occasional disturbance of field edge habitats every other year.",Calcareous loams over chalk.,Unknown,June - July  ,Unknown,Uncropped cultivated areas,Vulnerable   ,images/pics/Bunium_bulbocastanum.jpg,1024,768,Rob Hille,images/thumbnails/Bunium_bulbocastanum.jpg,images/illustrations/Bunium_bulbo.png,364,559,images/maps/Bunium_bulbocastanum.svg,,,,,,,,w,,
23,371037,878701,,Thorow-wax, Bupleurum rotundifolium,F,"Distinctive member of the carrot family, up to 75cm tall, which looks more like a member of the spurge family. The stem is reddish and branched and the leaves are round-oval with the upper leaves completely surrounding the stem. The small greenish-yellow flowers are clustered in small umbels at the end of the stems and cupped by a ring of green petal-like bracteoles. Thorow-wax has not been found in the wild since 1973.",Calcareous loams.,Autumn (limited spring germination),June - July  ,Short-lived,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Critically Endangered / Extinct   ,images/pics/Bupleurum_rotundifolium_CG.jpg,1024,1015,Chris Gibson,images/thumbnails/Bupleurum_rotundifolium_CG.jpg,,,,images/maps/Bupleurum_rotundifolium.svg,,,,,,,,w,,
24,371039,878702,,False Flax  or  Gold-of-pleasure, Camelina sativa,F,"Tall member of the mustard family, up to 120cm tall. The lanceolate leaves are arranged alternatively up the stem which can become woody with age. The pale-yellow flowers have the typical four petals. The seeds, borne in seed pods, are a distinctive orange colour. False flax is often a component of bird seed mixtures.","Sandy soils, loams and clays.",Spring,June - July  ,Unknown,Unknown  ,Nationally Scarce (applies to natural populations from the soil seed bank)   ,images/pics/Camelina_sativa.jpg,1024,1044,Fornax,images/thumbnails/Camelina_sativa.jpg,,,,images/maps/Camelina_sativa.svg,Camelina microcarpa,,,,,,y,,,
25,371041,878703,Bur-parsley,Small, Caucalis platycarpos,F,"Small member of the carrot family, up to 30cm tall. The short leaves are three-pinnately divided and look feathery. Bristles are randomly scattered throughout the plant. Each umbel flower head has 2-5 branches and large seeds are formed in pairs splitting apart as they are shed from the plant. The seeds have distinctive long curved spines and are up to 13mm long. This plant has declined since the introduction of competitive crop varieties and increased use of nitrogen fertilisers. It is also susceptible to herbicides and seed cleaning as it was probably spread in crop seed.",Calcareous clay loams.,Autumn,June  ,Unknown but seeds last for at least three years in the soil seed bank,Uncropped cultivated areas,Critically Endangered / Extinct   ,images/pics/Caucalis_platycarpa_France_CG.jpg,1024,768,Chris Gibson,images/thumbnails/Caucalis_platycarpa_France_CG.jpg,images/illustrations/Caucalis_platycarpos.png,380,493,images/maps/Caucalis_platycarpos.svg,Torilis nodosa?,,,,,,,w,,
26,371043,878704,,Cornflower, Centaurea cyanus,F,"Tall branched plant up to 1m. Grey-green hairy leaves with long, narrow and variably dissected lower leaves 10-20cm in length and smaller un-dissected upper leaves. The blue flower heads are typical of the daisy family and up to 3cm in diameter.",Sandy soils but may be present on calcareous clays and chalk.,Autumn and spring,June - August  ,Short-lived seed unless deeply-buried where it may survive dormant for longer,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Endangered (applies to natural populations from the soil seed bank)   ,images/pics/Centaurea_cyanus_1_CG.jpg,1024,683,Chris Gibson,images/thumbnails/Centaurea_cyanus_1_CG.jpg,images/illustrations/Centaurea_cyanus.png,545,616,images/maps/Centaurea_cyanus.svg,,b,,,,,,,,
27,371045,878705,Toadflax,Small , Chaenorhinum minus,F,"Smallish plant up to 20cm tall. The narrow parallel-sided leaves are arranged alternatively up the stem. Solitary flower stalks are borne in leaf axils. The 6-9mm long asymmetrical flowers are purple outside and paler inside, with a short spur.",Light calcareous loams.,Spring,May - October  ,Short-lived,Uncropped cultivated areas,Least Concern   ,images/pics/Chaenorhinum_minus_3_ES.jpg,1024,1015,Emily Swan,images/thumbnails/Chaenorhinum_minus_3_ES.jpg,images/illustrations/Chaenorrhinum_minus.png,1137,680,images/maps/Chaenorhinum_minus.svg,,,pu,,,,,,,
28,371047,878706,Goosefoot,Fig-leaved , Chenopodium ficifolium,F,"Tall plant, up to 100cm tall. Powdery (termed mealy) plant especially under the leaves. The leaves are hairless, and deeply three-lobed resembling fig-leaves. The flower spike has clusters of small 2mm florets.",Deep loams and clays.,Spring,June - October  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Least Concern   ,images/pics/Chenopodium_ficifolium_CS.jpg,1024,768,Cath Shellswell,images/thumbnails/Chenopodium_ficifolium_CS.jpg,,,,images/maps/Chenopodium_ficifolium.svg,,,,,,,,,gf,
29,371049,878707,Goosefoot,Maple-leaved , Chenopodium hybridum,F,"Tall plant, up to 100cm tall. The plant is not mealy. The leaves are hairless, cordate at the base with a few large acute triangular teeth making them resemble maple-leaves. The flower spike has clusters of small 2mm florets.",Clay loams.,Spring,July - October  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Least Concern   ,images/pics/Chenopodium_hybridum.jpg,1024,683,"Malcolm Storey, bioimages.org.uk",images/thumbnails/Chenopodium_hybridum.jpg,,,,images/maps/Chenopodium_hybridum.svg,,,,,,,,,gf,
30,371051,878708,Goosefoot,Nettle-leaved , Chenopodium murale,F,"Erect annual, up to 100cm with red streaked stem, mealy. Inflorescences in loose leafless clusters with powdery appearance. The flowers are petal-less and have yellow stamen and tiny green minutely toothed sepals. Leaves are sharp toothed and diamond shaped with smooth upper surface and powdery underside.",Light sandy loams and clay soils.,Spring,June - October  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Vulnerable   ,images/pics/Chenopodium_murale.jpg,1024,1044,Forest & Kim Starr,images/thumbnails/Chenopodium_murale.jpg,images/illustrations/Chenopodium_muale.png,362,321,images/maps/Chenopodium_murale.svg,,,,,,,,,gf,
31,371053,878709,Goosefoot,Many-seeded , Chenopodium polyspermum,F,"Tall plant, up to 100cm with square stems that may have a red tinge. The plant is not mealy. The oval untoothed leaves are hairless and 3-6cm long. The flower spike bears many tiny green flowers.",Light sandy loams and clay soils.,Spring,June - October  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Least Concern   ,images/pics/Chenopodium_polyspermum_CG.jpg,1024,1029,Chris Gibson,images/thumbnails/Chenopodium_polyspermum_CG.jpg,images/illustrations/Chenopodium_polusp.png,433,333,images/maps/Chenopodium_polyspermum.svg,,,,,,,,,gf,
32,371055,878710,Goosefoot,Upright , Chenopodium urbicum,F,"Erect annual, up to 100cm. The plant is not mealy. Inflorescences in loose leafless clusters. The flowers are petal-less and have yellow stamen and tiny green untoothed sepals. Leaves are toothed and triangular. Seeds are black.",Light sandy loams and clay soils.,Spring,August - September  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Critically Endangered   ,images/pics/Chenopodium_urbicum.jpg,1024,875,Andrea Moro,images/thumbnails/Chenopodium_urbicum.jpg,,,,images/maps/Chenopodium_urbicum.svg,,,,,,,,,gf,
33,371057,878711,,Tansy Mustard  or  Flixweed, Descurainia sophia,F,Annual plant up to 60cm. The lower leaves and stem are grey with star-shaped adpressed hairs. The leaves are three-pinnate with linear segments. The small pale yellow flowers develop into elongated fruits 1.5-2.5cm long by 1mm wide that curve upwards on slender stalks. The seed pods are the food plant of the grey carpet moth Lithostege griseata.,Sandy loams and sands.,Spring,June - August  ,Unknown,Uncropped cultivated areas,Least Concern   ,images/pics/Descurainia_sophia_1_LR.jpg,1024,1024,Lliam Rooney,images/thumbnails/Descurainia_sophia_1_LR.jpg,images/illustrations/Descruainia_sophia.png,417,1015,images/maps/Descurainia_sophia.svg,,,,,,,y,,,
34,371059,878712,Viper's-bugloss,Purple , Echium plantagineum,F,"This plant is covered in bristly hairs, and grows up to 75cm tall. The leaves are narrowly oval, forming a rosette at the base of the stem, also occurring along the stem. Flowers are large, arranged in a spike, have light purple petals fused into a tube with hair confined to the veins and petal margins, and two projecting stamens (viper's-bugloss Echium vulgare has smaller, hairy flowers and 4-5 stamens). Purple viper's-bugloss can be a contaminant of bird seed mixtures. This plant does re-grow from stubbles flowering again after harvest.",Sandy loams and rarely other soils.,Spring and autumn,June - October  ,Long-lived,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Near Threatened (applies to natural populations from the soil seed bank)   ,images/pics/Echium_plantagineum_CS.jpg,1024,1024,Cath Shellswell,images/thumbnails/Echium_plantagineum_CS.jpg,,,,images/maps/Echium_plantagineum.svg,,,pu,,,,,,,
35,371061,878713,Stork's-bill,Common , Erodium cicutarium,F,"This spreading plant can grow up to 30cm. All of the plant may be hairy, and can feel sticky. The long leaves look like a series of leaflets, which are divided almost down to the midrib, and arranged opposite each other with a terminal leaflet. All of the leaflets have teeth. At the base of each leaf are pointed whitish stipules. 3-7 flowers, less than 10mm in diameter, are grouped at the end of the flowering stem. The 5 unequal rose-purple to white petals are 6-8mm long.",Sandy loams.,Autumn and spring,June - September  ,Unknown (but thought to be long-lived),Uncropped cultivated areas,Least Concern   ,images/pics/Erodium_cicutarium_2_CG.jpg,1024,695,Chris Gibson,images/thumbnails/Erodium_cicutarium_2_CG.jpg,images/illustrations/Erodiium_cicutarium.png,541,697,images/maps/Erodium_cicutarium.svg,,,,,,p,,,,
36,371063,878714,Stork's-bill,Musk , Erodium moschatum,F,"This spreading plant can grow up to 60cm and smells of musk. All of the plant may be hairy and is very sticky. The long leaves look like a series of leaflets, which are divided halfway or less to the midrib and arranged opposite each other with a terminal leaflet. The leaflets are shallowly toothed. At the base of each leaf are broad and blunt whitish stipules. 2-8 flowers, 15mm in diameter, are grouped at the end of the flowering stem. The 5 unequal rose-purple to white petals are 6-8mm long. Musk stork's-bill struggles to grow with competitive crops and is usually found in open bare ground environments, or very short grassland.",Sandy loams.,Autumn (limited spring germination),June - September  ,Unknown (but thought to be long-lived),Uncropped cultivated areas,Least Concern   ,images/pics/Erodium_moschatum_2_CG.jpg,1024,692,Chris Gibson,images/thumbnails/Erodium_moschatum_2_CG.jpg,images/illustrations/Erodium_moschatum.png,447,572,images/maps/Erodium_moschatum.svg,,,,,,p,,,,
37,371065,878715,,Treacle-mustard, Erysimum cheiranthoides,F,Member of the cabbage family with tall spikes of flowers. The leaves are spear-shaped with shallow teeth and grow towards the base of the square stem. The small yellow flowers have four petals and are arranged spiralling up the stem. Each flower develops into a narrow seed pod.  ,Sandy and chalky loams but may be found in calcareous clays.,Spring,June - August  ,Unknown (but thought to be long-lived),Uncropped cultivated areas,Least Concern   ,images/pics/Erysimum_cheiranthoides_Treacle_Mustard_PS.jpg,1024,1024,Pete Stroh,images/thumbnails/Erysimum_cheiranthoides_Treacle_Mustard_PS.jpg,images/illustrations/Erysimum_cheiran.png,639,854,images/maps/Erysimum_cheiranthoides.svg,,,,,,,y,,,
