id,common_name,taxon,warehouse_id,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_author,map,confusion,
32,Upright Goosefoot, Chenopodium urbicum,878710,F,"Erect annual, up to 100cm. The plant is not mealy. Inflorescences in loose leafless clusters. The flowers are petal-less and have yellow stamen and tiny green untoothed sepals. Leaves are toothed and triangular. Seeds are black.",Light sandy loams and clay soils.,Spring,August - September  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Critically Endangered   ,images/Chenopodium_urbicum.jpg,Andrea Moro,images/Chenopodium urbicum.svg,,images/images/Chenopodium urbicum.svg
33,Tansy Mustard  or  Flixweed, Descurainia sophia,878711,F,Annual plant up to 60cm. The lower leaves and stem are grey with star-shaped adpressed hairs. The leaves are three-pinnate with linear segments. The small pale yellow flowers develop into elongated fruits 1.5-2.5cm long by 1mm wide that curve upwards on slender stalks. The seed pods are the food plant of the grey carpet moth Lithostege griseata.,Sandy loams and sands.,Spring,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Descurainia_sophia_1_LR.jpg,Lliam Rooney,images/Descurainia sophia.svg,,images/images/Descurainia sophia.svg
34,Purple Viper's-bugloss, Echium plantagineum,878712,F,"This plant is covered in bristly hairs, and grows up to 75cm tall. The leaves are narrowly oval, forming a rosette at the base of the stem, also occurring along the stem. Flowers are large, arranged in a spike, have light purple petals fused into a tube with hair confined to the veins and petal margins, and two projecting stamens (viper's-bugloss Echium vulgare has smaller, hairy flowers and 4-5 stamens). Purple viper's-bugloss can be a contaminant of bird seed mixtures. This plant does re-grow from stubbles flowering again after harvest.",Sandy loams and rarely other soils.,Spring and autumn,June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Near Threatened (applies to natural populations from the soil seed bank)   ,images/Echium_plantagineum_CS.jpg,Cath Shellswell,images/Echium plantagineum.svg,,images/images/Echium plantagineum.svg
35,Common Stork's-bill, Erodium cicutarium,878713,F,"This spreading plant can grow up to 30cm. All of the plant may be hairy, and can feel sticky. The long leaves look like a series of leaflets, which are divided almost down to the midrib, and arranged opposite each other with a terminal leaflet. All of the leaflets have teeth. At the base of each leaf are pointed whitish stipules. 3-7 flowers, less than 10mm in diameter, are grouped at the end of the flowering stem. The 5 unequal rose-purple to white petals are 6-8mm long.",Sandy loams.,Autumn and spring,June - September  ,Unknown (but thought to be long-lived),Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Erodium_cicutarium_2_CG.jpg,Chris Gibson,images/Erodium cicutarium.svg,,images/images/Erodium cicutarium.svg
36,Musk Stork's-bill, Erodium moschatum,878714,F,"This spreading plant can grow up to 60cm and smells of musk. All of the plant may be hairy and is very sticky. The long leaves look like a series of leaflets, which are divided halfway or less to the midrib and arranged opposite each other with a terminal leaflet. The leaflets are shallowly toothed. At the base of each leaf are broad and blunt whitish stipules. 2-8 flowers, 15mm in diameter, are grouped at the end of the flowering stem. The 5 unequal rose-purple to white petals are 6-8mm long. Musk stork's-bill struggles to grow with competitive crops and is usually found in open bare ground environments, or very short grassland.",Sandy loams.,Autumn (limited spring germination),June - September  ,Unknown (but thought to be long-lived),Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Erodium_moschatum_2_CG.jpg,Chris Gibson,images/Erodium moschatum.svg,,images/images/Erodium moschatum.svg
37,Treacle-mustard, Erysimum cheiranthoides,878715,F,Member of the cabbage family with tall spikes of flowers. The leaves are spear-shaped with shallow teeth and grow towards the base of the square stem. The small yellow flowers have four petals and are arranged spiralling up the stem. Each flower develops into a narrow seed pod.  ,Sandy and chalky loams but may be found in calcareous clays.,Spring,June - August  ,Unknown (but thought to be long-lived),Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Erysimum_cheiranthoides_Treacle_Mustard_PS.jpg,Pete Stroh,images/Erysimum cheiranthoides.svg,,images/images/Erysimum cheiranthoides.svg
38,Dwarf Spurge, Euphorbia exigua,878716,F,"A light-green, hairless plant, up to 10cm. The narrow, parallel-sided leaves can be up to 2cm long by 3mm wide. The petal-less yellowish-green flowers are arranged in a loose umbel with a leafy bract at the base. Fruits are smooth spherical capsules that explode on ripening.  ","Sands, calcareous loams and clays, chalk and limestone soils.",Spring (limited autumn germination),June - October  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Euphorbia_exigua_LR.jpg,Lliam Rooney,images/Euphorbia exigua.svg,,images/images/Euphorbia exigua.svg
39,Broadleaved Spurge, Euphorbia platyphyllos,878717,F,"A green, hairless plant up to 60cm with often reddish stems. The broad, narrowly-oblong pointed leaves can be up to 5cm long with serrated edges. The petal-less yellowish-green flowers are arranged in a loose umbel with a leafy bract at the base. Fruits are approximately 3mm in diameter and covered with warts. They explode on ripening.",Calcareous clays and silty loams.,Autumn (limited spring germination),June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Euphorbia_platyphyllos_CS.jpg,Cath Shellswell,images/Euphorbia platyphyllos.svg,Euphorbia helioscopia,images/images/Euphorbia platyphyllos.svg
40,Narrow-leaved Cudweed, Filago gallica,878718,F,"Fine plant up to 25cm tall but often shorter. The stems may be branched from the base and the whole plant appears grey from the fine hairs covering the stems and leaves. The leaves are long, up to 18mm, pointed and fine. The flowers are clustered together in dense flower-heads at the top of stems and are grey and woolly. Narrow-leaved cudweed has been found from around 30 sites in Essex and Suffolk with the last record located near Colchester in 1955. There are some reintroduction sites in these counties but it is thought to be extinct elsewhere.",Acidic sands and gravels.,Autumn (limited spring germination),June - October  ,Long-lived,Uncropped cultivated plots (biennial),Critically Endangered / Extinct   ,images/Filago_gallica_1_CG.jpg,Chris Gibson,images/Filago gallica.svg,other Filago spp.,images/images/Filago gallica.svg
41,Red-tipped Cudweed, Filago lutescens,878719,F,"A small short lived grey-green annual, sometimes with a yellow tinge. Up to 25cm tall, usually with branched stems. Upper leaves often extend beyond flowering head. Flowers are clustered with minute red tipped bristles. Often confused with common cudweed Filago vulgaris which lacks red tips and has slightly narrower leaves that do not overtop the flowers.",Sandy loams.,Autumn and winter,July - October  ,Moderately long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Filago_lutescens_1_CG.jpg,Chris Gibson,images/Filago lutescens.svg,other Filago spp.,images/images/Filago lutescens.svg
42,Broad-leaved Cudweed, Filago pyramidata,878720,F,"A silvery-green plant that holds heads of 8-15 tiny hidden flowers on the tops of short stems. Up to 30cm tall. Flower heads appear as a cluster of tiny pyramids formed of grey scales. Leaves have rounded tips, are broader near the top than base and over-top the clusters of flowers. Often confused with common cudweed Filago vulgaris which lacks red tips and has slightly narrower leaves that do not overtop the flowers.","Calcareous chalk, limestone and sands. Historically it grew in acidic sands and gravels.",Autumn (limited spring germination),July - October  ,Moderately long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Filago_pyramidata_LR.jpg,Lliam Rooney,images/Filago pyramidata.svg,other Filago spp.,images/images/Filago pyramidata.svg
